,Artiste1,Artiste2
2396,Jimmy Owens (musician),Thad Jones
2408,Jimmy Scott,Lionel Hampton
2415,Jane Jarvis,Lionel Hampton
2424,Lionel Hampton,Louis Armstrong
2452,Lionel Hampton,Benny Goodman
2513,Lionel Hampton,Johnny Hodges
2528,Lionel Hampton,Duke Ellington
2547,Lionel Hampton,Dexter Gordon
2556,Lionel Hampton,Milt Buckner
2570,Lionel Hampton,Count Basie
2575,Lionel Hampton,Lena Horne
2582,Lionel Hampton,Al Grey
2590,Ed Shaughnessy,Lionel Hampton
2602,Jimmy Owens (musician),Lionel Hampton
2609,Roy Eldridge,Lionel Hampton
2612,Slide Hampton,Lionel Hampton
2827,Herbie Hancock,Ron Carter
2829,Ron Carter,Herbie Hancock
2849,Ron Carter,Chico Hamilton
2859,Ron Carter,Dave Brubeck
2863,Dave Brubeck,Ron Carter
2931,Marian McPartland,Ron Carter
2996,Jimmy Scott,Benny Goodman
2999,Doc Cheatham,Benny Goodman
3062,Gerald Wiggins,Benny Goodman
3065,Marian McPartland,Benny Goodman
3072,Roy Eldridge,Benny Goodman
3129,Jane Jarvis,Fletcher Henderson
3142,Count Basie,Fletcher Henderson
3148,Roy Eldridge,Fletcher Henderson
3174,Abbey Lincoln,Kenny Dorham
3182,Buddy DeFranco,Clark Terry
3192,Jane Jarvis,Clark Terry
3206,Clark Terry,Buddy Bolden
3238,Clark Terry,Count Basie
3269,Clark Terry,Duke Ellington
3303,Clark Terry,Lucky Thompson
3376,Gerald Wiggins,Dinah Washington
3430,Ed Shaughnessy,Duke Ellington
3437,Dave Brubeck,Duke Ellington
3451,Marian McPartland,Duke Ellington
3456,Benny Powell,Duke Ellington
3463,Jimmy Owens (musician),Duke Ellington
3498,Mary Lou Williams,Duke Ellington
3520,Melba Liston,Duke Ellington
3531,Jane Jarvis,Milt Hinton
3542,Milt Hinton,Louis Armstrong
3570,Milt Hinton,Cab Calloway
3581,Milt Hinton,Chu Berry
3618,Milt Hinton,Bucky Pizzarelli
3689,Gerald Wiggins,Max Roach
3691,Jimmy Owens (musician),Max Roach
3704,Roy Haynes,Thelonious Monk
3742,Jimmy Owens (musician),Mel Lewis
3758,Buddy DeFranco,Count Basie
3959,Jane Jarvis,Count Basie
4025,Count Basie,Fats Waller
4092,Ed Shaughnessy,Count Basie
4156,Dave Brubeck,Count Basie
4161,Marian McPartland,Count Basie
4163,Benny Powell,Count Basie
4190,Jimmy Owens (musician),Count Basie
4221,Roy Eldridge,Count Basie
4291,Mary Lou Williams,Count Basie
4312,Danny Barker,Count Basie
4365,Vi Redd,Count Basie
4384,Toshiko Akiyoshi,Count Basie
4899,Jimmy Scott,Benny Carter
4903,Jimmy Scott,Louis Armstrong
4910,Jimmy Scott,Tommy Dorsey
4925,Jimmy Scott,Betty Carter
4959,Jimmy Scott,Big Maybelle
5075,Jimmy Scott,Gerald Wilson
5077,Jimmy Scott,Marty Paich
5090,Roy Haynes,Charles Mingus
5094,Jimmy Owens (musician),Charles Mingus
5127,Phil Woods,Sarah Vaughan
5167,Gerald Wiggins,Benny Carter
5175,Marian McPartland,Benny Carter
5190,Roy Eldridge,Benny Carter
5201,Abbey Lincoln,Benny Carter
5223,Buddy DeFranco,Louis Armstrong
5289,Roy Haynes,Louis Armstrong
5306,Dave Brubeck,Louis Armstrong
5375,Gerald Wiggins,Louis Armstrong
5442,Roy Eldridge,Louis Armstrong
5498,Mary Lou Williams,Louis Armstrong
5537,Danny Barker,Louis Armstrong
5567,Bob Haggart,Louis Armstrong
5595,Buddy DeFranco,Tommy Dorsey
5650,Benny Powell,Tommy Dorsey
5663,Melba Liston,Tommy Dorsey
5673,Buster Williams,Betty Carter
5679,John Levy (musician),Betty Carter
5798,Slide Hampton,Dexter Gordon
5818,Benny Waters,Jimmie Lunceford
5840,Roy Eldridge,Ella Fitzgerald
5995,Slide Hampton,Woody Herman
6077,Buddy DeFranco,Norman Granz
6094,Ed Shaughnessy,Norman Granz
6098,Roy Eldridge,Norman Granz
6139,Buddy DeFranco,Bix Beiderbecke
6294,Buddy DeFranco,Charlie Barnet
6779,Buddy DeFranco,Glenn Miller
6809,Buddy DeFranco,Freddie Green
