"","x"
"414","Dakota Staton"
"415","John Levy (musician)"
"416","Tony Bennett"
"417","Roy Haynes"
"418","Art Blakey"
"419","Jimmy Owens (musician)"
"420","Art Blakey"
"421","Slide Hampton"
"422","Art Blakey"
"423","Mary Lou Williams"
"424","Art Blakey"
"425","Delfeayo Marsalis"
"426","Art Blakey"
"427","Vi Redd"
"428","Art Blakey"
"429","Herbie Hancock"
"430","George Shearing"
"431","Charles McPherson (musician)"
"432","Pete Candoli"
"433","Slide Hampton"
"434","Benny Golson"
"435","Jimmy Owens (musician)"
"436","Eddie Daniels"
"437","Dave Brubeck"
"438","Chris Brubeck"
"439","Dave Brubeck"
"440","Gil Evans"
"441","Dave Brubeck"
"442","Jimmy Blanton"
"443","Dave Brubeck"
"444","Tal Farlow"
"445","Dave Brubeck"
"446","Tony Bennett"
"447","Slide Hampton"
"448","Dave Brubeck"
"449","Mary Lou Williams"
"450","Chu Berry"
"451","Mary Lou Williams"
"452","Lovie Austin"
"453","Mary Lou Williams"
"454","Don Byas"
"455","Mary Lou Williams"
"456","Stella Brooks"
"457","Mary Lou Williams"
"458","Mildred Bailey"
"459","Mary Lou Williams"
"460","Kenny Clarke"
"461","Jane Jarvis"
"462","Marian McPartland"
"463","Marian McPartland"
"464","Béla Fleck"
"465","Marian McPartland"
"466","Jimmy Dorsey"
"467","Marian McPartland"
"468","Tommy Flanagan"
"469","Jane Jarvis"
"470","Ethel Waters"
"471","Gerald Wiggins"
"472","Helen Humes"
"473","Bob Haggart"
"474","Howard Alden"
"475","Bob Haggart"
"476","Kenny Davern"
"477","Bob Haggart"
"478","Ray Bauduc"
"479","Slide Hampton"
"480","Kenny Clarke"
"481","Jimmy Owens (musician)"
"482","Clifford Brown"
"483","Roy Haynes"
"484","Joe Benjamin"
"485","Roy Haynes"
"486","Ronnell Bright"
"487","Abbey Lincoln"
"488","Jack DeJohnette"
"489","Roy Haynes"
"490","Gary Burton"
"491","Slide Hampton"
"492","Joe Henderson"
"493","Jimmy Owens (musician)"
"494","Wayne Shorter"
"495","Roy Haynes"
"496","Kenny Burrell"
"497","Gerald Wiggins"
"498","George Treadwell"
"499","Roy Haynes"
"500","Nelson Boyd"
"501","Roy Haynes"
"502","Don Braden"
"503","Buster Williams"
"504","Nelson Boyd"
"505","Gerald Wiggins"
"506","George Wein"
"507","Herbie Hancock"
"508","Philly Joe Jones"
"509","Slide Hampton"
"510","Stevie Wonder"
"511","Gerald Wiggins"
"512","Lena Horne"
"513","Herbie Hancock"
"514","Donald Byrd"
"515","Herbie Hancock"
"516","Gil Evans"
"517","Herbie Hancock"
"518","Teo Macero"
"519","Herbie Hancock"
"520","George Coleman"
"521","Buster Williams"
"522","Herbie Hancock"
"523","Jimmy Owens (musician)"
"524","Donald Byrd"
"525","Benny Powell"
"526","Tony Bennett"
"527","Charles McPherson (musician)"
"528","Buddy Bolden"
"529","Slide Hampton"
"530","Melba Liston"
"531","Melba Liston"
"532","Vi Redd"
"533","Melba Liston"
"534","Bardu Ali"
"535","Melba Liston"
"536","Art Farmer"
"537","Melba Liston"
"538","Buddy Collette"
"539","Toshiko Akiyoshi"
"540","Snooky Young"
"541","Jimmy Owens (musician)"
"542","Randy Weston"
"543","Benny Powell"
"544","Art Farmer"
"545","Jimmy Owens (musician)"
"546","Slide Hampton"
"547","Slide Hampton"
"548","Buddy Johnson"
"549","Slide Hampton"
"550","Don Sebesky"
"551","Slide Hampton"
"552","Willie Maiden"
"553","Slide Hampton"
"554","Benny Bailey"
"555","Slide Hampton"
"556","Lee Morgan"
"557","Slide Hampton"
"558","Wynton Kelly"
"559","Slide Hampton"
"560","Dennis Mackrel"
"561","Slide Hampton"
"562","Carmell Jones"
"563","Slide Hampton"
"564","Leo Wright"
"565","Slide Hampton"
"566","Nat Adderley"
"567","Slide Hampton"
"568","Bill Watrous"
"569","Jimmy Owens (musician)"
"570","Jerome Richardson"
"571","Danny Barker"
"572","Chu Berry"
"573","Gerald Wiggins"
"574","Sherman Ferguson"
"575","Gerald Wiggins"
"576","Andy Simpkins"
"577","Gerald Wiggins"
"578","Paul Humphrey"
"579","Benny Powell"
"580","Ruth Brown"
"581","Danny Barker"
"582","George Benson"
"583","Toshiko Akiyoshi"
"584","Pepper Adams"
"585","Jimmy Owens (musician)"
"586","Jimmy Cobb"
"587","Jimmy Owens (musician)"
"588","Curtis Fuller"
"589","Jimmy Owens (musician)"
"590","Hank Mobley"
"591","Jimmy Owens (musician)"
"592","Garnett Brown"
"593","Jimmy Owens (musician)"
"594","Charles McPherson (musician)"
"595","Jimmy Owens (musician)"
"596","Roland Hanna"
"597","Charles McPherson (musician)"
"598","Pepper Adams"
"599","Benny Powell"
"600","Benny Bailey"
"601","Buster Williams"
"602","Kenny Barron"
"603","Harold Ousley"
"604","Monty Alexander"
"605","Danny Barker"
"606","Black Benny"
"607","Danny Barker"
"608","Tommy Benford"
"609","Danny Barker"
"610","Bernard Addison"
"611","Abbey Lincoln"
"612","Eddie Beal"
"613","Abbey Lincoln"
"614","Oscar Brown"
"615","Delfeayo Marsalis"
"616","Brian Blade"
