"","x"
"723","Danny Barker"
"724","Al Morgan (musician)"
"725","Danny Barker"
"726","Tiny Bradshaw"
"727","Danny Barker"
"728","Horace Henderson"
"729","Danny Barker"
"730","George Benson"
"731","Danny Barker"
"732","Wellman Braud"
"733","Danny Barker"
"734","Wooden Joe Nicholas"
"735","Danny Barker"
"736","Muhammad Ali (drummer)"
"737","Danny Barker"
"738","James P. Johnson"
"739","Danny Barker"
"740","Don Redman"
"741","Danny Barker"
"742","Cie Frazier"
"743","Danny Barker"
"744","John Kirby (musician)"
"745","Danny Barker"
"746","Fats Waller"
"747","Danny Barker"
"748","Jimmie Noone"
"749","Danny Barker"
"750","Benny Goodman"
"751","Danny Barker"
"752","Willie Humphrey"
"753","Danny Barker"
"754","Bernard Addison"
"755","Danny Barker"
"756","Count Basie"
"757","Danny Barker"
"758","Elvis Presley"
"759","Danny Barker"
"760","Baby Dodds"
"761","Danny Barker"
"762","John Coltrane"
"763","Danny Barker"
"764","Lou Donaldson"
"765","Danny Barker"
"766","Lucky Millinder"
"767","Danny Barker"
"768","Manuel Perez (musician)"
"769","Danny Barker"
"770","Sidney De Paris"
"771","Danny Barker"
"772","Eddie Lang"
"773","Danny Barker"
"774","Albert Nicholas"
"775","Danny Barker"
"776","Sid Catlett"
"777","Danny Barker"
"778","Connie Kay"
"779","Danny Barker"
"780","Fred Guy"
"781","Danny Barker"
"782","Clarence Williams (musician)"
"783","Danny Barker"
"784","Little Brother Montgomery"
"785","Danny Barker"
"786","Bennie Moten"
"787","Danny Barker"
"788","Buddy Johnson"
"789","Danny Barker"
"790","Sharkey Bonano"
"791","Danny Barker"
"792","Tal Farlow"
"793","Danny Barker"
"794","Jo Jones"
"795","Danny Barker"
"796","Jon B."
"797","Danny Barker"
"798","Lizzie Miles"
"799","Danny Barker"
"800","Duke Ellington"
"801","Frank Foster (musician)"
"802","Art Tatum"
"803","Frank Foster (musician)"
"804","Eddie Durham"
"805","Frank Foster (musician)"
"806","Charles Tolliver"
"807","Frank Foster (musician)"
"808","Ornette Coleman"
"809","Frank Foster (musician)"
"810","Benny Powell"
"811","Frank Foster (musician)"
"812","Gus Johnson (jazz musician)"
"813","Frank Foster (musician)"
"814","Joseph Jarman"
"815","Frank Foster (musician)"
"816","Louis Hayes"
"817","Frank Foster (musician)"
"818","Fred Jackson (saxophonist)"
"819","Frank Foster (musician)"
"820","Quincy Jones"
"821","Frank Foster (musician)"
"822","Eric Dixon"
"823","Frank Foster (musician)"
"824","Coleman Hawkins"
"825","Frank Foster (musician)"
"826","Bud Powell"
"827","Frank Foster (musician)"
"828","Nat King Cole"
"829","Frank Foster (musician)"
"830","Erskine Hawkins"
"831","Frank Foster (musician)"
"832","Derrick Gardner"
"833","Frank Foster (musician)"
"834","Lucky Thompson"
"835","Frank Foster (musician)"
"836","Elmo Hope"
"837","Frank Foster (musician)"
"838","Ted Dunbar"
"839","Frank Foster (musician)"
"840","Jimmy Rushing"
"841","Frank Foster (musician)"
"842","Duke Pearson"
"843","Frank Foster (musician)"
"844","Slam Stewart"
"845","Frank Foster (musician)"
"846","Eddie Jones (jazz musician)"
"847","Frank Foster (musician)"
"848","Wynton Marsalis"
"849","Frank Foster (musician)"
"850","Eddie Allen"
"851","Frank Foster (musician)"
"852","Sheila Jordan"
"853","Frank Foster (musician)"
"854","Phil Spitalny"
"855","Frank Foster (musician)"
"856","Barry Harris"
"857","Frank Foster (musician)"
"858","Alan Dawson"
"859","Frank Foster (musician)"
"860","Michael Brecker"
"861","Frank Foster (musician)"
"862","Tommy Flanagan"
"863","Frank Foster (musician)"
"864","Marvin Stamm"
"865","Frank Foster (musician)"
"866","Snooky Young"
"867","Frank Foster (musician)"
"868","Ella Fitzgerald"
"869","Frank Foster (musician)"
"870","Lester Young"
"871","Frank Foster (musician)"
"872","Joe Chambers"
"873","Frank Foster (musician)"
"874","Thad Jones"
"875","Frank Foster (musician)"
"876","Ben Webster"
"877","Frank Foster (musician)"
"878","Sonny Fortune"
"879","Frank Foster (musician)"
"880","Wardell Gray"
"881","Frank Foster (musician)"
"882","Sonny Stitt"
"883","Frank Foster (musician)"
"884","Benny Green (pianist)"
"885","Frank Foster (musician)"
"886","Pepper Adams"
"887","Frank Foster (musician)"
"888","Chick Webb"
"889","Frank Foster (musician)"
"890","Roland Alexander"
"891","Frank Foster (musician)"
"892","John Coltrane"
"893","Frank Foster (musician)"
"894","Charles Sullivan (musician)"
"895","Frank Foster (musician)"
"896","Art Farmer"
"897","Frank Foster (musician)"
"898","Rahsaan Roland Kirk"
"899","Frank Foster (musician)"
"900","Carlos McKinney"
"901","Frank Foster (musician)"
"902","Tom Brown (trombonist)"
"903","Frank Foster (musician)"
"904","Gil Evans"
"905","Frank Foster (musician)"
"906","Jan Hammer"
"907","Frank Foster (musician)"
"908","Wendell Culley"
"909","Frank Foster (musician)"
"910","Stan Levey"
"911","Frank Foster (musician)"
"912","Sam Rivers"
"913","Frank Foster (musician)"
"914","Mongo Santamaría"
"915","Frank Foster (musician)"
"916","Frank Wess"
"917","Frank Foster (musician)"
"918","J. C. Johnson"
"919","Frank Foster (musician)"
"920","Joe Williams (jazz singer)"
"921","Frank Foster (musician)"
"922","Jamey Aebersold"
"923","Frank Foster (musician)"
"924","Hank Crawford"
"925","Frank Foster (musician)"
"926","Ed Allen (musician)"
"927","Frank Foster (musician)"
"928","Percy Heath"
"929","Frank Foster (musician)"
"930","Donald Byrd"
"931","Frank Foster (musician)"
"932","Norman Granz"
"933","Frank Foster (musician)"
"934","Dave Bartholomew"
"935","Frank Foster (musician)"
"936","Kiane Zawadi"
"937","Frank Foster (musician)"
"938","Bill Graham (musician)"
"939","Frank Foster (musician)"
"940","Chuck Mangione"
"941","Frank Foster (musician)"
"942","Milt Jackson"
"943","Frank Foster (musician)"
"944","Tommy Potter"
"945","Frank Foster (musician)"
"946","Mo Foster"
"947","Frank Foster (musician)"
"948","J. J. Johnson"
"949","Frank Foster (musician)"
"950","Don Ellis"
"951","Frank Foster (musician)"
"952","Art Mardigan"
"953","Frank Foster (musician)"
"954","Terry Gibbs"
"955","Frank Foster (musician)"
"956","Gunther Schuller"
"957","Frank Foster (musician)"
"958","Johnny Coles"
"959","Frank Foster (musician)"
"960","Wayne Shorter"
"961","Frank Foster (musician)"
"962","Dexter Gordon"
"963","Frank Foster (musician)"
"964","Reggie Workman"
"965","Frank Foster (musician)"
"966","Archie Shepp"
"967","Frank Foster (musician)"
"968","Kenny Burrell"
"969","Frank Foster (musician)"
"970","Freddie Waits"
"971","Frank Foster (musician)"
"972","Papa Jack Laine"
"973","Frank Foster (musician)"
"974","Will Davis (musician)"
"975","Frank Foster (musician)"
"976","Nancy Wilson (jazz singer)"
"977","Frank Foster (musician)"
"978","Kenny Barron"
"979","Frank Foster (musician)"
"980","Dee Dee Bridgewater"
"981","Frank Foster (musician)"
"982","Al Grey"
"983","Frank Foster (musician)"
"984","Gildo Mahones"
"985","Frank Foster (musician)"
"986","Kenny G"
"987","Frank Foster (musician)"
"988","Hank Jones"
"989","Frank Foster (musician)"
"990","Phineas Newborn Jr."
"991","Frank Foster (musician)"
"992","Miles Davis"
"993","Frank Foster (musician)"
"994","Fats Domino"
"995","Frank Foster (musician)"
"996","Stephanie Mills"
"997","Frank Foster (musician)"
"998","Dizzy Gillespie"
"999","Frank Foster (musician)"
"1000","Frank Sinatra"
"1001","Frank Foster (musician)"
"1002","Danny Mixon"
"1003","Frank Foster (musician)"
"1004","Benny Golson"
"1005","Frank Foster (musician)"
"1006","Ruth Brown"
"1007","Frank Foster (musician)"
"1008","Red Rodney"
"1009","Frank Foster (musician)"
"1010","Illinois Jacquet"
"1011","Frank Foster (musician)"
"1012","Lionel Hampton"
"1013","Frank Foster (musician)"
"1014","http://dbpedia.org/resource/Willie_""The_Lion""_Smith"
"1015","Frank Foster (musician)"
"1016","Henry Coker"
"1017","Frank Foster (musician)"
"1018","Gene Ramey"
"1019","Frank Foster (musician)"
"1020","Al Haig"
"1021","Frank Foster (musician)"
"1022","Al Hall (musician)"
"1023","Frank Foster (musician)"
"1024","Stanley Cowell"
"1025","Frank Foster (musician)"
"1026","Earle Warren"
"1027","Frank Foster (musician)"
"1028","Charlie Parker"
"1029","Frank Foster (musician)"
"1030","Hannibal Lokumbe"
"1031","Frank Foster (musician)"
"1032","Paul Bascomb"
"1033","Frank Foster (musician)"
"1034","Ike Isaacs (bassist)"
"1035","Frank Foster (musician)"
"1036","Charlie Johnson (bandleader)"
"1037","Frank Foster (musician)"
"1038","Vincent Gardner"
